Algorithm,C,epsilon,alpha,max_iter,Objective,Time (s),R2,MAE
PAR (best),0.001,1.0,,1000,1047.6994194431284,0.45692199998302385,0.8763118181527105,1050.8044186542195
PAR+Ridge (best),0.1,1.0,0.0001,200,1362.2132734430793,0.102893834002316,0.8782209837108808,1075.1837835666163
sklearn PAR default,1.0,0.1,,15,999.7290255527137,0.011909542023204267,0.8777220073049073,1006.8391014822498
sklearn PA+L2 default-like,1.0,0.1,0.0001,12,1266.6185288252564,0.0059465839876793325,0.823925644578381,1067.8562676243812
